Date,Open,High,Low,Close,Volume
2024-07-04,1.07909,1.0816,1.0782,1.08104,82234
2024-07-05,1.08103,1.0843,1.07956,1.0838,113874
2024-07-07,1.08003,1.08328,1.08003,1.08256,3731
2024-07-08,1.08254,1.0845,1.0814,1.08303,115444
2024-07-09,1.08303,1.0835,1.0803,1.08142,108864
2024-07-10,1.08143,1.0837,1.0809,1.0833,105258
2024-07-11,1.08331,1.08995,1.0831,1.08737,139847
2024-07-12,1.08737,1.09114,1.086,1.0906,127061
2024-07-14,1.08849,1.08931,1.0881,1.08856,3271
2024-07-15,1.08857,1.0923,1.0882,1.08979,132741
2024-07-16,1.0898,1.0906,1.087,1.09002,125707
2024-07-17,1.09062,1.09481,1.0894,1.09395,127754
2024-07-18,1.094,1.0941,1.0892,1.09001,138208
2024-07-19,1.09,1.0901,1.07133,1.0882,115545
2024-07-21,1.08783,1.0903,1.08783,1.08986,3298
2024-07-22,1.08986,1.08994,1.0871,1.08887,122864
2024-07-23,1.0889,1.0898,1.0842,1.08495,121246
2024-07-24,1.08495,1.0867,1.0824,1.08378,137878
2024-07-25,1.08378,1.087,1.0827,1.08512,158084
2024-07-26,1.08511,1.08682,1.084,1.0856,120019
2024-07-28,1.0855,1.08598,1.0851,1.08526,2884
2024-07-29,1.08525,1.087,1.0801,1.08189,119237
2024-07-30,1.08188,1.0836,1.0797,1.08156,132256
2024-07-31,1.08155,1.085,1.08003,1.08237,169228
2024-08-01,1.08232,1.08353,1.0776,1.07864,171193
2024-08-02,1.07863,1.0927,1.078,1.0909,183750
2024-08-04,1.09221,1.09234,1.09027,1.09101,6116
2024-08-05,1.09103,1.10084,1.0892,1.09506,273319
2024-08-06,1.09508,1.0963,1.0902,1.09252,218953
2024-08-07,1.09252,1.0937,1.0904,1.09272,182253
2024-08-08,1.09271,1.0945,1.08793,1.09148,169170
2024-08-09,1.09147,1.09313,1.09069,1.0915,132872
2024-08-11,1.09087,1.09186,1.09087,1.09123,2627
2024-08-12,1.09125,1.094,1.091,1.09355,130909
2024-08-13,1.09354,1.1,1.0913,1.09954,150803
2024-08-14,1.09953,1.10472,1.0986,1.10113,146227
2024-08-15,1.10116,1.1016,1.0948,1.09722,134946
2024-08-16,1.09722,1.103,1.097,1.1027,122800
2024-08-18,1.10253,1.10336,1.10208,1.10244,2868
2024-08-19,1.10243,1.1089,1.1022,1.10854,141531
